episode,win,reward,length,opponent
353,1,(806.3629675507716+0j),573,random
354,1,(628.368361576244+0j),453,random
355,1,(3049.2814954758087+0j),2215,random
356,1,(2119.457168305298+0j),1515,random
357,1,(1417.1866669163744+0j),848,random
358,1,(824.393329284705+0j),531,random
359,1,(1206.4724625736683+0j),721,random
360,1,(982.3795908796153+0j),680,random
361,0,(3551.1742551013617+0j),3018,random
362,1,(1334.7994592357652+0j),792,random
363,1,(1004.0313165102939+0j),731,random
364,1,(3420.827908377169+0j),2526,random
365,0,(1558.346583752786+0j),1213,random
366,1,(1376.9349836644683+0j),972,random
367,1,(2327.753367985298+0j),1958,random
368,0,(3872.6039125479897+0j),3062,random
369,1,(656.9319508470201+0j),388,random
370,1,(837.310459360493+0j),562,random
371,1,(2749.8345285124146+0j),1799,random
372,1,(1589.6936778135603+0j),1096,random
373,1,(1031.2395779106878+0j),660,random
374,1,(1087.9232978431048+0j),690,random
375,1,(6077.224337889813+0j),4841,random
376,1,(653.0893630174255+0j),445,random
377,1,(1539.579174949277+0j),1247,random
378,1,(770.3824514613076+0j),583,random
379,1,(3319.7389083510425+0j),2311,random
380,1,(865.0927947836963+0j),575,random
381,1,(1671.5798397701333+0j),1136,random
382,1,(1277.7857255836004+1.9922349259060792j),939,random
383,1,(2920.1386953601855+0j),2096,random
384,1,(2019.2004623030198+0j),1147,random
385,1,(968.314854411897+0j),583,random
386,1,(1812.9896877015224+0j),1076,random
387,1,(786.7442279973761+0j),599,random
388,1,(1423.633290794784+0j),905,random
389,1,(769.8944303842678+0j),529,random
390,1,(908.1313056018278+0j),551,random
391,0,(5009.288518792507+0j),3174,random
392,1,(845.9873797143614+0j),583,random
393,0,(6571.321794652568+0j),4317,random
394,1,(1379.6469690900392+0j),1067,random
395,1,(5075.319061844793+0j),3509,random
396,1,(994.2218735073492+0j),569,random
397,1,(911.6138412382827+0j),509,random
398,1,(573.7226842325318+0j),394,random
399,1,(4154.643673012513+0j),3095,random
400,1,(1963.002246099946+0j),1557,random
401,1,(1771.6077419440553+0j),1468,random
402,1,(780.3466455303786+0j),516,random
403,1,(1638.8513014333514+0j),1112,random
404,0,(6489.052722481325+0j),5261,random
405,0,(2535.7028761767992+0j),1796,random
406,1,(1262.853237518286+0j),751,random
407,0,(2728.6636607273317+0j),1796,random
408,1,(4261.480130595961+0j),3100,random
409,1,(1017.4718226966895+0j),779,random
410,1,(3801.018825142935+0j),2579,random
411,1,(3121.8580059846704+0j),2707,random
412,1,(4950.010003571286+0j),3557,random
413,1,(1341.6247700755507+0j),772,random
414,1,(1041.600381788247+0j),705,random
415,0,(1034.1195552260256+0j),911,random
416,1,(3675.7150120286747+0j),2552,random
417,1,(978.4062956486482+0j),668,random
418,1,(449.8401744147643+0j),243,random
419,1,(1528.76782144124+0j),905,random
420,1,(1551.8034213594865+0j),1057,random
421,1,(4180.037231709817+0j),3659,random
422,1,(1179.1293989596356+0j),763,random
423,0,(4540.08165818065+0j),3750,random
424,1,(1302.8616073486332+0j),1023,random
425,1,(4840.367276314104+0j),3387,random
426,1,(5727.679989323799+0j),4613,random
427,1,(768.9311089246476+0j),515,random
428,1,(502.0913403297253+0j),319,random
429,1,(3836.1847921240483+0j),2728,random
430,1,(783.1988094329885+0j),532,random
431,1,(883.1694549842871+0j),579,random
432,1,(2017.0860702968544+0j),1346,random
433,1,(948.7710100244616+0j),611,random
434,0,(6843.390905704196+0j),4949,random
435,1,(5129.883308067531+0j),3804,random
436,0,(4061.0129985616695+0j),3414,random
437,1,(723.8290696687682+0j),414,random
438,1,(1106.0243266519471+0j),767,random
439,1,(1259.8111253343616+0j),822,random
440,1,(6454.460778115949+0j),4357,random
441,1,(647.0814993228679+0j),464,random
442,1,(5886.053693978767+0j),3567,random
443,1,(708.5145281349053+0j),451,random
444,1,(3032.5573816203328+0j),2538,random
445,1,(362.76538515432185+0j),197,random
446,1,(1750.6612151396812+0j),1269,random
447,1,(1066.7882200391025+0j),664,random
448,1,(621.619932649671+0j),537,random
449,1,(879.8710137769082+0j),542,random
450,1,(5739.256575440602+0j),3994,random
451,1,(5894.765897637704+0j),4246,random
452,1,(1292.6655255486112+0j),974,random
453,1,(1106.2629137851536+0j),790,random
454,1,(2572.654499310311+0j),1896,random
455,1,(910.0530759441453+0j),532,random
456,1,(1595.3199271866383+0j),909,random
457,1,(1961.7828219022726+0j),1222,random
458,1,(462.2460142656426+0j),282,random
459,1,(4350.366626680562+0j),3065,random
460,0,(6788.116085895972+0j),5182,random
461,1,(3048.6820168781696+0j),2088,random
462,1,(391.6503216715678+0j),266,random
463,1,(7263.756568483273+0j),4837,random
464,1,(756.7222888800477+0j),457,random
465,1,(5519.200778765522+0j),3514,random
466,1,(532.8963268390345+0j),254,random
467,1,(4136.640550167269+0j),2981,random
468,1,(627.6473301397797+0j),326,random
469,1,(693.9701264097694+0j),503,random
470,1,(405.3899050457345+0j),303,random
471,1,(1648.5755989062595+0j),1033,random
472,1,(562.0180425525446+0j),295,random
473,0,(6552.972475571033+0j),5169,random
474,1,(594.7267143294014+0j),352,random
475,1,(1095.416089269472+0j),780,random
476,1,(972.2731118261889+0j),674,random
477,1,(1299.2945683226312+0j),949,random
478,1,(1347.5396675662075+0j),1000,random
479,1,(3456.6343718744947+0j),3016,random
480,1,(1584.359885894285+0j),941,random
481,1,(4897.820841302166+0j),3493,random
482,1,(639.7985202264218+0j),445,random
483,0,(2507.7386096997557+0j),1493,random
484,1,(989.3853548778653+0j),677,random
485,0,(4286.0238163293925+0j),4106,random
486,1,(4975.659457230899+0j),3658,random
487,1,(5385.234029104245+0j),5195,random
488,0,(9133.582013109755+0j),6993,random
489,0,(5572.775377197169+0j),3661,random
490,1,(798.7071298594578+0j),499,random
491,1,(973.6942596338242+0j),640,random
492,1,(3135.8457608257486+0j),2210,random
493,1,(1749.4050952611492+0j),1247,random
494,1,(1069.3787293776081+0j),883,random
495,1,(3082.52839392842+0j),2362,random
496,0,(7520.292203019354+0j),4544,random
497,1,(564.2075874992161+0j),369,random
498,1,(2579.758987587209+0j),2013,random
499,1,(5018.795700527329+0j),4276,random
500,1,(2174.4671068024154+0j),1369,random
501,1,(875.2862943751122+0j),610,random
502,0,(1656.271047365623+0j),1140,random
503,1,(1483.687926017386+0j),898,random
504,1,(3747.32511774699+0j),2704,random
505,1,(2580.791514119348+0j),1634,random
506,1,(578.0138992490847+0j),378,random
507,1,(495.33768388384766+0j),378,random
508,0,(5562.462196193226+0j),5208,random
509,1,(1264.2200013491324+0j),754,random
510,1,(586.486148047441+0j),405,random
511,1,(3613.2492059427464+0j),3012,random
512,1,(1231.8391129647653+0j),712,random
513,0,(1816.7785342090572+0j),1328,random
514,1,(3789.7701833141623+0j),2852,random
515,1,(742.3188874232783+0j),494,random
516,1,(4573.782433260319+0j),3708,random
517,1,(1992.6136870415557+0j),1274,random
518,1,(4781.020956676722+0j),3313,random
519,1,(961.5484011195417+0j),679,random
520,1,(515.1166773290295+0j),362,random
521,0,(5978.049411546439+0j),4970,random
522,0,(6333.445962248663+0j),4893,random
523,0,(5390.04674218915+0j),4715,random
524,1,(652.9811357329603+0j),388,random
